Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Spleen/body weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Hematological chemistry,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Testosterone concentation,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",,Spermatozoa counts/motility,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,LD50,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",44,"0, 20-200 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,LD50,,F,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",44,"0, 20-200 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Mean days of survival,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Cricket consumption,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Body weight change,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Hematological chemistry,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Cricket consumption,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Body weight change,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Brain weight,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets
